Local Solution 1
Objective Value= 946.58353044
Bus,Voltage,Angle(deg)
1,1.04671662,0.00000000
2,0.95672573,-3.46188055
3,0.95000000,-3.21427776
4,0.98402243,37.65051193
5,1.05000000,45.47971203
Generation
Bus,P(MW),Q(MVars)
1,181.42714648,124.09401885
5,220.87494451,-30.00000000
Line Flows
from,to,P(MW),Q(MW),Line Loss(MW)
1,2,95.70326234,64.15672451,4.84666295,1,3,85.72388414,59.93729434,4.99311201,2,4,-39.89359754,26.67613847,22.98991132,3,5,-48.55252821,36.48359680,34.02037806,4,5,-127.88350886,21.43782930,10.41852938,2,3,0.75019694,6.57559442,0.03349728,

Local Solution 2
Objective Value= 1082.33197365
Bus,Voltage,Angle(deg)
1,1.01369173,0.00000000
2,0.95398521,-6.52453491
3,0.95000000,-6.57335826
4,1.01432568,358.65845489
5,1.05000000,363.10722567
Generation
Bus,P(MW),Q(MVars)
1,246.04578444,29.27391116
5,98.14883590,-30.00000000
Line Flows
from,to,P(MW),Q(MW),Line Loss(MW)
1,2,129.49561054,16.65449657,6.63564333,1,3,116.55017390,12.61941460,6.68722339,2,4,-9.72200409,-20.49213297,0.57120508,3,5,-17.56398437,-18.55005095,1.89881200,4,5,-75.29320917,12.19941604,3.39283035,2,3,2.58197130,2.21643204,0.00890618,

