fbus;tbus;r;x;b;Pmax;Imax;baseMVA;baseKV
1;2;0.01;0.05;0;25;25;100;345
2;3;0.01;0.05;0;25;25;100;345
3;4;0.01;0.05;0;25;25;100;345
4;5;0.01;0.05;0;25;25;100;345
5;6;0.01;0.05;0;25;25;100;345
6;7;0.01;0.05;0;25;25;100;345
7;8;0.01;0.05;0;25;25;100;345
8;9;0.01;0.05;0;25;25;100;345
9;10;0.01;0.05;0;25;25;100;345
10;11;0.01;0.05;0;25;25;100;345
11;12;0.01;0.05;0;25;25;100;345
12;13;0.01;0.05;0;25;25;100;345
13;14;0.01;0.05;0;25;25;100;345
14;15;0.01;0.05;0;25;25;100;345
15;16;0.01;0.05;0;25;25;100;345
16;17;0.01;0.05;0;25;25;100;345
17;18;0.01;0.05;0;25;25;100;345
18;19;0.01;0.05;0;25;25;100;345
19;20;0.01;0.05;0;25;25;100;345
20;21;0.01;0.05;0;25;25;100;345
21;22;0.01;0.05;0;25;25;100;345
22;1;0.01;0.05;0;25;25;100;345
